pair_name,pair_label,hypothesis,hypothesis_label,raw_score,corrected_score,distance_score,raw_evidence,control_corrected_evidence,distance_aware_plausibility,mechanism_context,followup_priority,recommended_followup
M1_M3,M1-M3,corridor_like_migration_or_expansion,corridor-like migration or expansion,1.0,0.975,0.6593520149037863,strong,strong,moderate,broadly_compatible,high,"Waveform migration tests, relocation, and along-strike stress or fluid indicators"
M1_M2,M1-M2,broader_regional_activation,broader regional activation,1.0,0.8708333333333333,1.0,strong,strong,strong,broadly_compatible,high,"Regional rate modeling, geodesy, OBP, and stress-field comparison"
M2_M3,M2-M3,independent_local_clusters,independent local clusters,0.9149797570850202,0.7903662437782404,1.0,strong,strong,strong,broadly_compatible,high,Low priority; only revisit after improved relocations and background-rate modeling
M1_M3,M1-M3,linked_local_fault_system_activation,linked local fault-system activation,1.0,0.7759375,0.6637270149037863,strong,strong,moderate,broadly_compatible,high,"High-precision relocation, focal mechanisms, and stress modeling"
M1_M3,M1-M3,broader_regional_activation,broader regional activation,1.0,0.775,0.5406410895673496,strong,strong,moderate,broadly_compatible,high,"Regional rate modeling, geodesy, OBP, and stress-field comparison"
M2_M3,M2-M3,broader_regional_activation,broader regional activation,1.0,0.6083333333333334,1.0,strong,moderate,strong,broadly_compatible,high,"Regional rate modeling, geodesy, OBP, and stress-field comparison"
M1_M3,M1-M3,overlapping_activation_zones,overlapping activation zones,1.0,0.576875,0.6637270149037863,strong,moderate,moderate,broadly_compatible,high,"Relocation refinement, waveform cross-correlation, and focal-mechanism comparison"
M1_M2,M1-M2,common_regional_rate_pulse_without_pair_specific_linkage,common regional rate pulse without pair-specific linkage,0.7,0.5486249999999999,1.0,moderate,moderate,strong,broadly_compatible,high,Regional background-rate modeling and broad geodetic/stress context
M2_M3,M2-M3,common_regional_rate_pulse_without_pair_specific_linkage,common regional rate pulse without pair-specific linkage,0.8609311740890688,0.5453531826360773,1.0,strong,moderate,strong,broadly_compatible,high,Regional background-rate modeling and broad geodetic/stress context
M2_M3,M2-M3,apparent_relationship_from_background_or_window_choices,apparent relationship from burst-like background or window choices,0.5333333333333333,0.5333333333333333,0.8702023708392594,moderate,moderate,strong,broadly_compatible,high,Expand control suite and compare alternative windows before physical interpretation
M1_M3,M1-M3,delayed_activation_between_clusters,delayed activation between clusters,1.0,0.5916666666666667,0.3849893833451442,strong,moderate,possible,broadly_compatible,medium,"Waveform similarity, lagged rate-change tests, and stress-change screening"
M1_M2,M1-M2,linked_local_fault_system_activation,linked local fault-system activation,0.5608974358974359,0.5099111912393163,0.0,moderate,moderate,low,broadly_compatible,medium,"High-precision relocation, focal mechanisms, and stress modeling"
M1_M3,M1-M3,common_regional_rate_pulse_without_pair_specific_linkage,common regional rate pulse without pair-specific linkage,0.7,0.47275,0.5406410895673496,moderate,possible,moderate,broadly_compatible,medium,Regional background-rate modeling and broad geodetic/stress context
M1_M2,M1-M2,independent_local_clusters,independent local clusters,0.6826923076923077,0.3345798598270052,1.0,moderate,possible,strong,broadly_compatible,medium,Low priority; only revisit after improved relocations and background-rate modeling
M1_M3,M1-M3,compound_swarm_like_multi_event_clustering,compound/swarm-like multi-event clustering,0.379262482560965,0.301829725704768,0.3212435061589302,possible,possible,possible,broadly_compatible,medium,"Waveform family analysis, relocation, and fluid-sensitive geodetic or OBP review"
M2_M3,M2-M3,corridor_like_migration_or_expansion,corridor-like migration or expansion,0.4635627530364372,0.2588225371120108,0.0,possible,possible,low,broadly_compatible,medium,"Waveform migration tests, relocation, and along-strike stress or fluid indicators"
M1_M3,M1-M3,apparent_relationship_from_background_or_window_choices,apparent relationship from burst-like background or window choices,0.2166666666666666,0.2166666666666666,0.7075009484109135,low,low,moderate,broadly_compatible,medium,Expand control suite and compare alternative windows before physical interpretation
M1_M3,M1-M3,independent_local_clusters,independent local clusters,0.5642023346303502,0.1264165856031128,0.5406410895673496,moderate,low,moderate,broadly_compatible,medium,Low priority; only revisit after improved relocations and background-rate modeling
M1_M2,M1-M2,corridor_like_migration_or_expansion,corridor-like migration or expansion,1.0,0.925,0.0,strong,strong,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,M1-M2,compound_swarm_like_multi_event_clustering,compound/swarm-like multi-event clustering,0.1831861062394418,0.1686838728288193,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,M2-M3,compound_swarm_like_multi_event_clustering,compound/swarm-like multi-event clustering,0.199055330634278,0.1368505398110661,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M2_M3,M2-M3,linked_local_fault_system_activation,linked local fault-system activation,0.2641700404858299,0.136192645074224,0.0227012449697525,possible,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,M1-M2,apparent_relationship_from_background_or_window_choices,apparent relationship from burst-like background or window choices,0.1166666666666666,0.1166666666666666,0.8325088855452676,low,low,strong,broadly_compatible,low,No immediate escalation beyond catalog checks
M1_M2,M1-M2,overlapping_activation_zones,overlapping activation zones,0.1217948717948717,0.0948223824786324,0.0,low,low,low,broadly_compatible,low,No immediate escalation beyond catalog checks
